source,target
221130,45567
221130,645019
224755,232697
224755,224783
224755,82801
232886,396813
232886,4635745
232886,2828605
232886,1190129
232886,977852
232886,449358
232886,376653
232886,82801
232886,1462053
232886,4315373
232886,12589
232886,659430
232886,8762949
232886,645019
232886,2695601
232886,64091
232886,8763433
232886,232697
232886,8766445
233643,8839793
233643,549496
233643,645019
233643,644333
233643,233713
233643,207438
847849,645019
847849,45567
252385,376653
252385,299822
252385,645019
252385,8762949
257358,8766445
257358,1436
257358,645019
257371,8844634
257371,449827
257371,178921
257371,8804338
257371,257379
257371,534
286261,8789731
286261,1462053
286261,119206
286261,2376324
286261,8839181
286261,8767031
286261,994939
286261,1184981
286261,534
286261,286337
286261,449827
286261,8762949
137317,45567
137317,64091
137317,8851081
137317,268033
137317,287062
137317,449358
137317,299822
137317,4327719
137317,193998
137317,549496
137317,8766445
137317,449827
137317,645019
137317,287098
137317,564
137317,3623
189286,8762949
294831,449827
297447,783092
297447,1462053
297447,3506571
297447,2529340
297447,297677
297447,187766
297447,297978
297447,1149927
297447,8855041
297447,297807
297447,297846
297447,8837793
297447,297888
297447,297959
297447,298210
297447,298291
297447,298327
297447,298376
297447,8855067
297447,8855073
297447,298741
297447,414416
297447,4943004
297447,8766445
297447,783716
297447,7100784
297447,299016
297447,8791785
297447,299051
297447,6937843
297447,299027
297447,299187
297447,298698
297447,299251
297447,299253
297447,244194
297447,299285
300737,1462053
300737,300751
300737,8773229
300737,430623
300737,449358
300737,41428
300737,376653
300737,51818
300737,299822
300737,260688
300737,1022173
300737,645019
300737,1188748
300737,41477
300737,21248
300737,14929
300737,422320
300737,779097
300737,8855432
300737,8855439
300737,8855449
300737,549496
300737,644597
300737,1093263
300737,8855450
375841,5938419
375841,8762949
375841,45567
375841,449827
377968,449827
377968,645019
377968,45567
377968,116563
377968,7237329
377968,1462053
377968,187766
377968,783092
382530,45567
384032,3377437
384032,8769221
384032,1563434
384032,2322758
384032,1827843
384032,1702621
384032,8860317
384032,2657305
384032,1211611
384032,8860338
384032,8860349
384032,8860358
384032,8860363
384032,8860365
384032,8860371
384032,6562097
384032,8768791
384032,1237251
384032,4749048
384032,645019
384032,45567
384032,8766445
384032,8762949
384032,3623
384032,197521
384032,731
384032,534
384032,3392981
384032,449827
384032,7237329
384032,1462053
384032,187766
384032,116563
384032,783092
384268,1162306
384268,299822
384268,449358
384268,549496
384268,8767031
384268,645019
384268,8860496
384268,7842727
21419,386278
21419,5926157
21419,1162233
21419,1911534
21419,15921
21419,33774
21419,2870883
21419,25625
21419,1190129
21419,8763433
21419,59063
21419,376653
21419,2885326
21419,12589
21419,1254386
21419,8861969
21419,8861994
21419,8795301
21419,8862004
21419,8862032
21419,34139
21419,8862033
21419,8862042
21419,8862050
21419,8862076
21419,1905566
21419,8862096
21419,1225250
21419,386318
21419,5895894
21419,1083665
21419,8862113
21419,8766778
21419,15844
21419,8774130
21419,392924
21419,449827
21419,645019
21419,4247482
21419,1328284
21419,4271435
21419,8762949
21419,299822
387929,390915
387929,390940
387929,390948
387929,390968
387929,390995
387929,2962257
387929,391027
387929,391032
387929,391075
387929,238043
387929,391143
387929,102272
387929,1411
387929,35605
387929,238233
387929,391226
387929,200678
387929,391259
387929,214597
387929,449827
387929,645019
401237,10147
401237,401263
401237,401300
401237,645019
401237,401314
401237,1189710
410971,7623374
410971,8868964
410971,534
416156,193998
416156,449358
416156,299822
416156,549496
416156,416168
416156,1462053
416156,645019
428142,8768791
428142,1237251
428142,4749048
428142,645019
428142,1190129
428142,534
428142,1462053
428142,7237329
428142,116563
428142,8762949
431690,45567
433625,433637
433625,1404757
433625,1413558
433625,433704
433625,433726
433625,433731
433625,433737
433625,8872499
437578,437587
437578,1462053
22600,2387639
22600,1081226
22600,8877507
22600,2381659
22600,4012986
22600,5671983
22600,8877518
22600,5769499
22600,638286
22600,8101110
22600,8795359
22600,8877562
22600,8804506
22600,4124024
22600,644597
22600,7112064
22600,8877589
22600,8774160
22600,4039850
22600,8877598
22600,4405000
22600,1525136
22600,6867547
22600,1164579
22600,1225250
22600,8822846
22600,4081667
22600,8821604
22600,8371911
22600,8877644
22600,4819401
22600,1506256
22600,1035940
22600,30070
22600,718903
22600,659430
22600,45567
446605,8780626
446605,8762949
446605,8777690
446605,1462053
449543,645019
449543,45567
388296,299822
388296,252862
388296,193998
388296,388548
388296,453281
388296,453373
388296,453365
388296,36284
388296,453452
388296,14
388296,453488
388296,241381
456544,3623
456544,8774130
456544,449827
456544,8488287
149234,645019
149234,45567
524911,449827
525104,193998
525104,3473486
525104,8773452
525104,8805501
525104,4667116
525104,8887903
525104,8887947
525104,2949118
525104,8789968
525104,525178
525104,8888004
525104,1462053
525104,7122582
525104,525202
525104,525207
525104,525219
527713,645019
527715,8776242
527715,8888955
527715,8774160
527715,449827
527715,1462053
527715,8766445
527715,3623
528150,645019
528150,64091
149561,45567
149561,645019
149561,528804
149412,62107
149412,528845
149412,449358
149412,64091
149412,12589
149412,299822
149412,3884718
149412,14
149412,193998
149412,528842
149412,5274
149412,33017
149412,1617079
149412,549986
149412,645019
149412,6002361
149412,263508
149412,4494
149412,71435
149412,3623
149412,3316421
149412,8799529
149412,5799260
149412,622095
149412,270233
149412,443535
149412,528941
149412,7514560
149412,47769
480683,1637736
480683,449827
480683,8763433
480683,783092
480683,1462053
480683,8774130
480683,8488287
480683,1298337
480683,1681665
480683,5717925
480683,8893413
480683,82801
480683,1321221
480683,8762949
546025,5906579
546374,645019
546392,18501
546392,8896272
546392,8762949
546392,3309325
546392,2691463
546392,8766445
546392,5583777
552772,116435
552772,606499
552772,8812440
552772,552801
552772,2214631
552772,2438340
552772,2596461
552772,552825
552772,534471
552772,552845
552772,8766445
552772,552852
552772,552881
477703,562231
477703,3392981
477703,449827
477703,45567
477703,197521
477703,3623
477703,783092
477703,116563
477703,7237329
477703,1462053
477703,187766
150969,8549088
150969,116563
150969,783092
150969,1462053
150969,187766
150969,7237329
150969,45567
150969,3392981
150969,4393869
150969,4000580
563482,2058055
563482,4838736
563482,8853642
563482,42581
563482,8762949
567505,8762949
567505,116563
568969,8766445
568969,534
20500,8909134
20500,28801
20500,622095
20500,594235
20500,594245
20500,43425
20500,112260
20500,8909155
20500,2885326
20500,7277
20500,6748528
20500,8909163
20500,2595705
20500,64091
20500,2385615
20500,1431859
20500,247452
20500,3309459
20500,8909230
20500,8909262
20500,8909276
20500,2130394
20500,1591922
20500,8909301
20500,25623
20500,2094877
20500,299822
20500,2777288
20500,1721978
20500,8767031
20500,43401
20500,174980
20500,2695601
20500,2376324
20500,45567
20500,14
20500,1462053
20500,193998
20500,8909340
20500,60697
20500,187790
20500,449358
20500,8763433
20500,645019
20500,376653
20500,8762949
594345,1871976
594345,594544
152583,45567
152583,645019
152614,645019
152614,45567
605807,8762949
605807,449358
605807,8912873
605807,232697
605807,38236
605807,1225250
605807,449827
605807,8843794
605807,8776764
605807,8767031
605807,8773229
606365,645019
606365,45567
606365,2436888
606365,8766720
152960,45567
152960,645019
610390,8914360
610390,8914361
610390,8766445
610390,564
610390,8549088
610390,6927614
610390,8762949
614885,614889
614885,709765
421761,8788928
421761,645019
421761,449827
421761,8762949
421761,8766400
617869,644333
617869,617872
617869,2116540
617869,8875806
617869,549496
617869,8917306
617869,8917310
617869,8917312
617869,7340652
617869,1583605
617869,645019
617869,8766445
617869,14
617869,617942
617869,449827
617869,8917354
617869,160184
617869,54426
617869,8858992
617869,8917373
617869,8763433
617869,200952
617869,8762949
617869,8578220
617869,90501
617869,4227604
617869,618045
617869,4701553
617869,38236
617869,8810030
631333,645019
637568,299822
637568,8762949
637568,449358
637568,645019
638303,244360
638303,8924484
638303,1721978
642467,645019
642467,45567
644186,8762949
644186,8488287
644186,449827
114774,2376324
114774,376632
114774,14
114774,644333
114774,174980
114774,645019
114774,1462053
114774,449358
114774,376653
114774,299822
114774,449827
114774,8762949
89671,566136
89671,2607622
89671,1789486
89671,647968
214680,35605
214680,649014
214680,8849538
214680,115626
214680,8849547
214680,8817399
214680,160298
214680,8928458
214680,258823
214680,8928467
214680,649073
214680,2323548
214680,5978452
214680,3309085
214680,3799847
214680,8766445
214680,8763433
214680,645019
214680,197521
214680,3623
214680,1321221
214680,82801
214680,8762949
214680,3309325
214680,3392981
214680,8928501
214680,8821737
214680,8766778
214680,38236
214680,613099
214680,449827
214680,649097
649984,649985
649984,650014
656681,5859105
656681,4623323
656681,8762949
662743,549496
662743,645019
662743,662775
362292,344571
362292,8781617
362292,363090
362292,8784053
362292,8767858
362292,4058263
362292,8762949
362292,8767031
362292,8810126
362292,96003
362292,1041681
362292,8934700
362292,645019
362292,91906
485118,8766445
485118,45567
485118,645019
485118,1462053
485118,116563
485118,783092
683682,3090446
683682,693950
683682,645019
683682,63975
685202,660437
727011,645019
728372,6927614
731492,731502
731492,8947629
731492,731594
731492,731631
731492,731651
731492,731678
731492,8947657
731492,8947666
731492,731706
731492,731717
731492,731718
684654,43814
684654,620436
684654,256227
684654,645019
684654,554186
684654,2657305
684654,38236
684654,293528
684654,130322
684654,8947704
684654,288198
684654,12184
684654,9784
684654,33374
684654,732300
684654,288332
684654,732279
684654,1844455
684654,732384
684654,243590
684654,3377437
684654,16532
684654,523735
684654,5336541
684654,407967
684654,444704
684654,190023
684654,449827
740883,645019
740883,45567
740883,8952817
740883,8952818
740883,8952858
740883,8952861
740883,7540972
740883,6637435
741209,741213
741209,8953178
741209,5571214
741209,256693
741209,741238
741209,666081
741209,13802
741209,614984
741209,667681
741209,55645
741209,667523
741209,1282545
741209,656594
741209,741207
741209,8766445
741209,1321221
741209,8769221
741209,6927614
741209,194869
741209,783092
741209,1462053
741209,187766
741209,3623
743454,645019
488898,534
488898,8915935
488898,1919687
488898,2659922
488898,488998
488898,3309085
488898,194869
488898,6927614
488898,3309325
488898,8549088
488898,5906579
488898,197521
488898,3623
488898,1298337
488898,1321221
488898,82801
488898,8762949
488898,3799847
488898,38236
488898,45567
488898,645019
488898,1462053
488898,116563
488898,187766
488898,7237329
488898,8954886
488898,8820648
488898,3554278
488898,8705418
488898,8954950
488898,8954965
488898,8954972
488898,13802
488898,5978452
488898,2323548
488898,8955026
488898,8955049
488898,432971
488898,34485
488898,564
488898,8766445
488898,449827
488898,3392981
488898,5554284
488898,8914941
488898,2437359
488898,1517899
488898,8868892
488898,8893061
488898,8921178
135670,44518
135670,76499
135670,55645
135670,51857
135670,744977
135670,55517
135670,744993
135670,217775
135670,3233918
135670,21433
135670,642932
135670,263462
135670,745034
135670,1475579
135670,136851
135670,399170
135670,8955615
135670,575454
135670,452426
135670,1580041
135670,452748
135670,226179
135670,91126
135670,114078
135670,1128603
135670,236569
135670,4022
135670,1160260
135670,71210
135670,198453
135670,203173
135670,83141
135670,580770
135670,582724
135670,1678177
135670,395180
135670,217632
135670,237368
135670,45567
544417,205123
544417,55614
544417,544495
544417,786174
544417,8472144
544417,5536241
544417,786217
544417,786275
544417,786358
544417,8765624
544417,8960494
544417,8878771
791542,45567
793312,645019
905993,1617565
905993,8971790
905993,8971805
908205,45567
494277,66903
494277,2216
494277,79515
494277,8972811
494277,908951
494277,908965
494277,86041
494277,643844
494277,908985
494277,908990
494277,908987
494277,56669
494277,990960
494277,908994
494277,8765624
494277,5533
494277,8836902
494277,54772
494277,957235
494277,474756
494277,8972892
494277,449827
494277,3392981
494277,564
494277,1190129
494277,8763433
494277,534
494277,645019
494277,45567
494277,3623
494277,197521
494277,8762949
494277,1321221
494277,82801
494277,1298337
494277,187766
494277,1462053
494277,116563
494277,783092
494277,7237329
494277,1217156
494277,8769221
494277,3377437
494277,5978452
494277,2323548
494277,909034
494277,2395487
494277,7060608
494277,3309325
494277,5906579
494277,194869
494277,6927614
163036,8972965
163036,8972967
163036,5112399
163036,45567
163036,171412
163036,4226504
163036,644597
163036,912602
163036,913905
163036,834930
163036,1227748
163036,912715
163036,202104
163036,534
163036,8766445
163036,299822
163036,8770309
163036,376653
163036,421424
163036,1213056
163036,645019
163036,914213
163036,8762949
163036,101853
915331,24302
915331,710544
915331,7872084
63413,714595
63413,784068
63413,3045311
63413,549496
921726,376653
863162,8974925
863162,8022561
863162,8974942
863162,2633337
863162,8975022
863162,3926235
863162,8975040
863162,976395
863162,255092
863162,5772291
863162,656594
863162,2357095
863162,731
863162,534
863162,5978452
863162,8762949
863162,645019
863162,3377437
863162,8769221
863162,564
863162,1190129
422334,31888
422334,48547
422334,86041
422334,560907
422334,11157
422334,94488
704790,4635980
704790,4055696
704790,4051099
704790,8828754
704790,5902999
704790,8778929
704790,8769974
704790,4358453
704790,8763433
704790,3392981
704790,197521
704790,3623
704790,8766778
704790,38236
704790,644992
704790,645019
704790,8768921
704790,1225250
704790,8975278
704790,8975281
704790,710707
704790,922193
704790,8771966
704790,8821604
704790,1225500
704790,8838177
704790,8766445
704790,922235
704790,8762949
704790,449827
923279,923281
923279,8975889
930159,930174
930159,930177
930159,930202
930159,1663200
930159,8973960
930159,4635745
930159,930260
930159,8808706
930159,108543
930159,233713
930159,930335
930159,108457
930159,930343
930159,295561
930159,961798
864271,550980
864271,645019
864271,45567
864271,932244
864271,8766445
864271,197521
865245,645019
865964,645019
865986,8767797
865986,1462053
865986,783092
865986,449827
865986,45567
865986,645019
936921,449827
936921,645019
922980,8767978
922980,8767976
922980,3069782
922980,8766400
922980,1655425
922980,8983127
922980,1683306
922980,672096
922980,8841166
922980,8767324
922980,5209176
922980,8983149
922980,4358453
922980,449827
922980,8762949
922980,3908802
922980,8769621
695793,449358
695793,376653
695793,174980
695793,549496
695793,644333
695793,645019
695793,691882
868668,3623
868668,8762949
868668,449827
12760,64091
12760,8800691
12760,718903
12760,430623
12760,376653
12760,787505
12760,125646
12760,116563
12760,1462053
12760,254178
12760,1677690
12760,644597
12760,8986899
12760,8770309
12760,951904
12760,93322
12760,30070
12760,659430
12760,98909
12760,8986919
12760,549496
12760,645019
953743,921405
953743,655729
953743,8766445
955151,8988427
955151,8777220
955151,449827
428795,260688
428795,45567
428795,645019
428795,8988834
428795,8988835
635828,8988957
635828,8988959
635828,1563672
635828,956907
635828,1095090
635828,2317424
635828,534
635828,8989005
635828,8989021
635828,8720346
635828,8881980
635828,67311
635828,1829431
635828,379408
635828,4831777
635828,2083788
635828,448561
635828,8744371
635828,3229988
635828,2332938
635828,8989197
635828,8989198
635828,2791498
635828,565135
635828,668743
635828,956909
635828,8942277
635828,7128916
635828,956949
635828,8989241
635828,8989278
635828,3514852
635828,8989293
635828,642806
635828,125917
635828,288052
635828,8720662
635828,1576319
635828,8989313
635828,673048
635828,8403322
635828,8989399
635828,956736
635828,125807
635828,1576354
635828,6928687
635828,1199853
635828,8989468
635828,3046288
635828,956799
151471,658444
151471,961173
151471,961171
151471,961182
151471,8762949
151471,1018995
151471,151684
151471,254178
151471,226495
151471,961297
151471,1279266
871080,645019
871080,8766722
871080,5026809
871080,8766720
733517,962618
963555,45567
963555,3623
963648,449827
963648,645019
963648,1462053
963742,3799847
963742,45567
963742,8762949
963742,449827
970009,564
970009,187766
93477,2695003
93477,645019
93477,8813438
93477,232697
93477,534
93477,376653
93477,984217
93477,8762949
93477,299822
993553,645019
878790,5978452
878790,2323548
878790,8774130
878790,38236
878790,8766445
878790,3392981
878790,45567
878790,645019
878790,3623
878790,1298337
878790,8762949
878790,82801
878790,8769221
878790,6927614
1000325,8774130
1000325,1462053
1000797,3623
1000797,449827
1010829,449827
1010829,8784053
1010829,564
1010829,8788928
1010829,8762949
354574,1322629
354574,4708379
354574,8966602
354574,647763
354574,8799529
354574,8881322
354574,8909791
354574,8808786
354574,1012992
354574,907471
354574,92266
354574,4421131
354574,718903
354574,8776242
354574,57419
354574,251563
354574,549986
354574,64091
354574,534
354574,1655425
354574,82801
354574,3057924
354574,921405
354574,645019
354574,549496
354574,376653
354574,193998
354574,2698609
354574,1225250
354574,1611005
354574,8767031
354574,566043
354574,8768921
354574,8769085
354574,1161072
354574,714884
354574,7333911
354574,1011063
354574,9008859
354574,38236
354574,299822
354574,8989518
354574,135487
354574,2135387
354574,851099
354574,3604889
354574,8766445
354574,8784053
354574,707
354574,2862172
354574,9008886
354574,9008889
354574,8762949
354574,1011069
354574,8795546
354574,219271
1013171,8791785
1013171,1462053
1013171,262426
192347,8772736
192347,8887720
192347,8772533
192347,9011677
192347,8847109
192347,2353553
192347,613099
192347,4271435
192347,8771029
192347,8768921
192347,9011760
192347,9011764
192347,9011829
192347,9011845
192347,9011850
192347,7040819
192347,8804687
192347,30667
192347,5025935
192347,9011886
192347,9011887
192347,2028315
192347,2267126
192347,9011919
192347,8770839
192347,7361682
192347,1215570
192347,706606
192347,8770985
192347,549496
192347,449358
192347,645019
192347,376653
192347,1462053
192347,712365
192347,699272
192347,9012062
192347,8770509
192347,700549
192347,5026809
192347,9012083
192347,8766720
192347,4268704
192347,8772798
192347,8762949
192347,7741847
192347,9012204
192347,8788806
192347,8892373
192347,9012245
192347,8949783
192347,211536
192347,1015161
192347,8772517
1017477,1017507
1017477,210199
1017477,42215
1017477,1017548
1017477,1017558
1017572,9014201
1017572,449827
1017572,1462053
150311,110380
150311,299822
150311,193998
150311,549496
150311,14
150311,376653
150311,21248
150311,25623
150311,645019
150311,430623
150311,388475
150311,563267
150311,26048
150311,99171
150311,1026656
150311,45567
150311,9018880
150311,64091
150311,86398
1028196,8867589
150506,3377437
150506,8769221
150506,5906579
150506,6927614
150506,8549088
150506,194869
150506,3309325
150506,116563
150506,7237329
150506,783092
150506,187766
150506,1462053
150506,645019
150506,45567
1032187,1385296
1032187,5986771
916751,8865141
916751,14
916751,99499
916751,449827
916751,8821761
916751,64091
916751,7110812
916751,8762949
916751,1462053
916751,783092
150977,376653
150977,45567
150977,645019
150977,64091
150977,299822
150977,449827
150977,8767031
23072,645019
23072,1046889
1049736,8766445
1049736,1462053
1049736,116563
835064,1462053
835064,9030518
835064,433824
835064,216431
835064,923062
835064,8862033
835064,376653
835064,2376324
835064,3392981
835064,45567
835064,534
835064,8488287
835064,8762949
835064,8794862
835064,8381854
835064,8916328
835064,8827627
835064,449827
835064,2186537
835064,1053874
835064,8778095
835064,1391544
835064,9030638
835064,1002078
835064,392924
835064,9030662
835064,1427289
187714,8777813
187714,187766
187714,1632063
1056470,62501
1056470,1056486
1056470,8766445
1056470,1056495
1056470,1462053
1056470,3309325
1056470,9031785
1062890,82801
1062890,8762949
836170,449827
836170,3392981
836170,8762949
836170,8797768
1069695,4710965
1069695,1069789
1069695,889405
1069695,1069785
1069695,1309572
1069695,44609
1069695,9037650
1069907,1069908
1069907,1069970
1069907,8767031
1069907,1069995
837749,38236
837749,197521
837749,645019
837749,3392981
837749,8762949
837749,1210276
838547,449827
838547,645019
838547,8762949
838547,197521
1087941,1087949
1087941,1490755
1087941,5726531
1087941,9043327
1087941,1087985
1087941,9043357
840276,449827
840276,645019
87315,260018
87315,1705486
87315,9044599
87315,15921
87315,5400565
87315,918790
87315,975884
87315,380892
87315,144251
87315,2836798
87315,9044612
87315,576212
87315,14
87315,1624313
87315,967826
87315,1089557
87315,1089526
87315,119481
87315,1089499
87315,853062
87315,1089491
87315,449358
87315,1089464
87315,1061380
87315,645019
1089665,36744
1089665,221865
1089665,376653
1089665,1089672
1089665,55645
1089665,449827
1089665,645019
1089665,8762949
694291,449358
694291,645019
694291,8948345
694291,8762949
415270,376653
415270,265009
415270,1092614
415270,261264
415270,9045608
415270,4943516
415270,645019
415270,45567
415270,7237329
415270,187766
415270,783092
415270,116563
415270,1462053
415270,715417
415270,1180034
415270,8797768
415270,125200
415270,5673006
415270,241889
415270,8841844
415270,5438098
415270,15336
415270,1716144
415270,8488287
415270,2323548
415270,8803280
415270,1298337
415270,1092660
415270,1470896
415270,197521
415270,38236
415270,1092699
415270,1092714
415270,79941
415270,449827
415270,8843170
415270,82801
415270,1092757
415270,4111899
415270,8762949
415270,5978452
415270,1092768
415270,3046010
415270,11730
415270,4078021
415270,9045693
415270,288200
415270,1908029
1094733,1462053
1096841,1096930
1096841,1096925
1096841,1096922
1096841,1096894
1096841,1096861
1096841,9047679
1141063,8762949
1141063,9028297
1141063,9061904
1141063,9061905
1141063,2596461
1141063,8824771
1141063,1026940
1141063,1141093
1141063,757015
1141063,8820439
1141063,178932
1141063,9062029
1141063,7359105
1141063,1141064
1141428,8771017
1141428,1141451
1141428,1733117
1141428,9062368
1141428,1141461
1141428,9062372
1141428,9062374
192501,549986
192501,193998
192501,376653
192501,644333
192501,449358
192501,1462053
192501,1141502
192501,1141499
192501,1711508
192501,446446
192501,8770985
192501,549496
192501,1216355
192501,700549
192501,7361682
192501,645019
192501,8762949
192501,1141520
192501,103030
192501,691996
192501,8766720
192501,8771029
192501,1141529
192501,383622
192501,727231
192501,9062436
192501,1771375
192501,8771178
192501,14
192501,1594325
1144031,8790936
1144031,8765020
1144031,449827
1144031,8837465
1144031,1144063
1144031,9063174
1144031,8488287
1144031,5438098
1144031,990822
1144031,8838552
694330,3309325
694330,6927614
694330,8766445
694330,534
694330,8763433
694330,564
694330,1190129
694330,3392981
694330,645019
694330,9063580
694330,2376324
694330,8762949
694330,4111899
694330,296353
694330,1145316
694330,449827
694330,1145325
694330,8827998
694330,2323548
847829,645019
847829,45567
847829,3309085
847829,534
847829,731
847829,38236
847829,3799847
847829,8766445
847829,1298337
847829,82801
847829,8762949
847829,1321221
847829,3377437
847829,8769221
303951,9064976
303951,1154107
303951,9065014
303951,9065065
303951,1154210
303951,6654622
303951,1066552
303951,551110
303951,9065130
303951,8780626
303951,893454
303951,9065159
303951,8780640
303951,1154283
303951,8914941
303951,1066475
303951,938564
303951,9065189
303951,7859358
303951,1154325
303951,8841557
303951,1154337
303951,9065232
303951,1154359
303951,8774149
303951,2688096
303951,8814415
303951,9065271
303951,1154376
303951,8787596
303951,9065288
303951,8771435
303951,8966188
303951,4125175
303951,8767976
303951,2675228
303951,8780923
303951,5209176
303951,8771089
303951,3392981
303951,1462053
303951,8814123
303951,8766400
1158496,3492001
1158496,8778235
1158496,5606867
1158496,8767797
1158496,449827
1158496,38236
1158496,645019
1158496,3623
1158496,8762949
1158496,8778336
849496,645019
1159978,9067804
1159978,8762949
1159978,3623
1159978,449827
1160146,1162306
1160146,45567
1160607,69663
1160607,376653
1160607,645019
694283,193998
694283,376653
694283,8770309
694283,645019
1169031,645019
1169031,5906579
1169031,8549088
1169031,3309325
1064447,41428
1064447,299822
1064447,549496
1064447,645019
1177525,549496
1177525,645019
1177525,1072890
729629,1180034
729629,4351974
729629,8865141
729629,187766
729629,9075292
1181764,1181779
1181764,8787596
1181764,8762949
488999,731
488999,534
488999,8766445
488999,564
488999,8763433
488999,45567
488999,645019
488999,1321221
488999,116563
488999,1462053
1194621,8769221
1194621,645019
1194621,8766445
1195963,2657305
1195963,8762949
489814,644597
489814,549496
489814,8788907
489814,92266
489814,1188748
489814,8771881
489814,1462053
489814,783092
489814,564
855229,82801
855229,1321221
855229,8762949
855229,5978452
855229,8488287
855229,449827
855459,449827
855976,9085095
855976,1211837
855976,4760665
855976,9085110
855976,8771435
855976,8784053
855976,8839196
855976,645019
855976,449827
855976,38236
855976,8867719
855976,8762949
855976,5938419
855976,8767031
397513,903237
397513,783092
397513,116563
397513,187766
397513,1462053
397513,45567
397513,645019
795007,45567
795007,645019
795007,1902683
795007,9086344
795007,5041092
795007,259075
795007,1387079
795007,4330342
795007,1236134
795007,424992
180150,3130133
180150,165607
180150,8935945
180150,165156
180150,1229934
180150,1229936
180150,9784
180150,116563
180150,1171061
180150,645019
180150,534
622311,376653
622311,14202
622311,14752
622311,9091684
622311,645019
622311,8762949
622311,9091718
622311,2829694
421933,644597
421933,299822
421933,644333
421933,376653
421933,449358
421933,645019
421933,1237870
421933,116563
421933,8767031
421933,549496
421933,8770309
421933,9093134
421933,1237891
85633,319033
85633,233643
85633,2529661
85633,424992
85633,1545677
85633,24485
85633,1235885
85633,25623
85633,1078123
85633,645019
85633,449827
85633,549496
85633,8762949
1240754,1884967
1240754,6937963
1240754,4828607
1240754,1462053
1240754,38236
1240754,449827
1240754,8766445
1240754,4351974
1240754,8488287
1240754,2657305
1278488,449827
1278488,9095880
1278488,3623
1278488,8762949
1278488,1225033
1278488,996034
697719,449358
697719,376653
697719,644333
697719,645019
697719,549496
862057,45567
862949,1462053
862949,8762949
862949,534
34819,603395
34819,59063
34819,410743
34819,526076
34819,232697
34819,64091
34819,193998
34819,2376324
34819,8762949
34819,187766
34819,1297374
